user,Group,password
jane.doe@abc-company.com,DBA,ChangeMe123456!
michael.scott@abc-company.com,NetworkAdmin,ChangeMe123456!
barbara.brown@abc-company.com,CloudAdmin,ChangeMe123456!
brian.garcia@abc-company.com,LinuxAdmin,ChangeMe123456!
philip.jack@abc-company.com,DBA,ChangeMe123456!
angelino.marinho@abc-company.com,DBA,ChangeMe123456!
arachane.dinis@abc-company.com,DBA,ChangeMe123456!
armando.pirassununga@abc-company.com,DBA,ChangeMe123456!
astolfo.cerveira@abc-company.com,DBA,ChangeMe123456!
augusta.gusmao@abc-company.com,DBA,ChangeMe123456!
boaventura.trindade@abc-company.com,DBA,ChangeMe123456!
bras.vides@abc-company.com,DBA,ChangeMe123456!
bruna.muniz@abc-company.com,DBA,ChangeMe123456!
capitolina.garrido@abc-company.com,DBA,ChangeMe123456!
carina.salles@abc-company.com,DBA,ChangeMe123456!
caua.setubal@abc-company.com,DBA,ChangeMe123456!
celeste.moreira@abc-company.com,DBA,ChangeMe123456!
celso.torres@abc-company.com,DBA,ChangeMe123456!
cesar.matos@abc-company.com,LinuxAdmin,ChangeMe123456!
cleiton.frois@abc-company.com,DBA,ChangeMe123456!
cristiana.dornelles@abc-company.com,DBA,ChangeMe123456!
debora.ferreyra@abc-company.com,LinuxAdmin,ChangeMe123456!
deolindo.ourique@abc-company.com,LinuxAdmin,ChangeMe123456!
diamantino.raposo@abc-company.com,LinuxAdmin,ChangeMe123456!
donato.gama@abc-company.com,LinuxAdmin,ChangeMe123456!
doroteia.robalo@abc-company.com,LinuxAdmin,ChangeMe123456!
egas.malta@abc-company.com,LinuxAdmin,ChangeMe123456!
emiliana.bicudo@abc-company.com,LinuxAdmin,ChangeMe123456!
esperanca.carrasco@abc-company.com,LinuxAdmin,ChangeMe123456!
eudes.bogado@abc-company.com,LinuxAdmin,ChangeMe123456!
fausto.doutel@abc-company.com,LinuxAdmin,ChangeMe123456!
filipa.holanda@abc-company.com,LinuxAdmin,ChangeMe123456!
filipe.henriques@abc-company.com,LinuxAdmin,ChangeMe123456!
gil.pinhal@abc-company.com,LinuxAdmin,ChangeMe123456!
gilda.maior@abc-company.com,LinuxAdmin,ChangeMe123456!
giovana.carballo@abc-company.com,LinuxAdmin,ChangeMe123456!
glauber.feijo@abc-company.com,LinuxAdmin,ChangeMe123456!
glaucia.pitangui@abc-company.com,LinuxAdmin,ChangeMe123456!
godofredo.carvalhal@abc-company.com,LinuxAdmin,ChangeMe123456!
goncalo.balladares@abc-company.com,LinuxAdmin,ChangeMe123456!
graciano.vianna@abc-company.com,LinuxAdmin,ChangeMe123456!
gui.maior@abc-company.com,LinuxAdmin,ChangeMe123456!
guterre.milheiro@abc-company.com,LinuxAdmin,ChangeMe123456!
guterre.pastana@abc-company.com,LinuxAdmin,ChangeMe123456!
hedviges.velasquez@abc-company.com,LinuxAdmin,ChangeMe123456!
helena.acatauacu@abc-company.com,LinuxAdmin,ChangeMe123456!
hermigio.rosa@abc-company.com,LinuxAdmin,ChangeMe123456!
ibijara.capiperibe@abc-company.com,NetworkAdmin,ChangeMe123456!
ifigenia.homem@abc-company.com,NetworkAdmin,ChangeMe123456!
iracema.bento@abc-company.com,NetworkAdmin,ChangeMe123456!
jandaira.escobar@abc-company.com,NetworkAdmin,ChangeMe123456!
jeremias.paula@abc-company.com,NetworkAdmin,ChangeMe123456!
lavinia.delgado@abc-company.com,NetworkAdmin,ChangeMe123456!
ligia.palhares@abc-company.com,NetworkAdmin,ChangeMe123456!
lino.belmonte@abc-company.com,NetworkAdmin,ChangeMe123456!
lopo.camacho@abc-company.com,NetworkAdmin,ChangeMe123456!
luisa.ramirez@abc-company.com,NetworkAdmin,ChangeMe123456!
mario.briao@abc-company.com,NetworkAdmin,ChangeMe123456!
melissa.queiroz@abc-company.com,NetworkAdmin,ChangeMe123456!
mem.regueira@abc-company.com,NetworkAdmin,ChangeMe123456!
morgana.valgueiro@abc-company.com,NetworkAdmin,ChangeMe123456!
natalia.terra@abc-company.com,NetworkAdmin,ChangeMe123456!
nazare.verissimo@abc-company.com,NetworkAdmin,ChangeMe123456!
noe.betancour@abc-company.com,NetworkAdmin,ChangeMe123456!
noemia.sarmento@abc-company.com,NetworkAdmin,ChangeMe123456!
olavo.borges@abc-company.com,NetworkAdmin,ChangeMe123456!
oliveira.sobral@abc-company.com,NetworkAdmin,ChangeMe123456!
oriana.viveiros@abc-company.com,NetworkAdmin,ChangeMe123456!
paraguacu.ipanema@abc-company.com,NetworkAdmin,ChangeMe123456!
placido.medeiros@abc-company.com,NetworkAdmin,ChangeMe123456!
porfirio.azenha@abc-company.com,NetworkAdmin,ChangeMe123456!
potira.ferraco@abc-company.com,NetworkAdmin,ChangeMe123456!
quiteria.xavier@abc-company.com,NetworkAdmin,ChangeMe123456!
raquel.paredes@abc-company.com,Trainees,ChangeMe123456!
ruca.conde@abc-company.com,Trainees,ChangeMe123456!
salvador.vasquez@abc-company.com,Trainees,ChangeMe123456!
sancha.pino@abc-company.com,Trainees,ChangeMe123456!
sandro.alvarenga@abc-company.com,Trainees,ChangeMe123456!
sebastiana.peres@abc-company.com,Trainees,ChangeMe123456!
sebastiao.vasconcelos@abc-company.com,Trainees,ChangeMe123456!
severino.martins@abc-company.com,Trainees,ChangeMe123456!
sidonio.ramirez@abc-company.com,Trainees,ChangeMe123456!
simone.velasco@abc-company.com,Trainees,ChangeMe123456!
socorro.brum@abc-company.com,Trainees,ChangeMe123456!
sofia.siqueira@abc-company.com,Trainees,ChangeMe123456!
sonas.modesto@abc-company.com,Trainees,ChangeMe123456!
sonia.telles@abc-company.com,Trainees,ChangeMe123456!
teodorico.guilheiro@abc-company.com,Trainees,ChangeMe123456!
tobias.piraja@abc-company.com,Trainees,ChangeMe123456!
trajano.santanna@abc-company.com,Trainees,ChangeMe123456!
ubajara.guerreiro@abc-company.com,Trainees,ChangeMe123456!
vania.paredes@abc-company.com,CloudAdmin,ChangeMe123456!
vera.andrade@abc-company.com,Trainees,ChangeMe123456!
viriato.albernaz@abc-company.com,Trainees,ChangeMe123456!
xenia.peres@abc-company.com,CloudAdmin,ChangeMe123456!
zelia.ferrao@abc-company.com,CloudAdmin,ChangeMe123456!
zidane.espargosa@abc-company.com,CloudAdmin,ChangeMe123456!
zilda.pastana@abc-company.com,CloudAdmin,ChangeMe123456!
zulmira.paixao@abc-company.com,CloudAdmin,ChangeMe123456!
zuriel.losada@abc-company.com,CloudAdmin,ChangeMe123456!
